city,year,plant,bee,is_honeybee,bee_type,bee_genus
birmingham,2020,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Taraxacum,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Taraxacum,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Malus,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Spiraea,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Malus,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Hyacinthoides,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Malus,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Taraxacum,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Malus,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Taraxacum,Andrena nigroaenea,FALSE,wild,Andrena
birmingham,2020,Cotoneaster,Bombus hypnorum,FALSE,wild,Bombus
birmingham,2020,Cotoneaster,Bombus pratorum,FALSE,wild,Bombus
birmingham,2020,Malus,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Taraxacum,Bombus lapidarius,FALSE,wild,Bombus
birmingham,2020,Hyacinthoides,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Lamium,Bombus pratorum,FALSE,wild,Bombus
birmingham,2020,Hyacinthoides,Bombus hortorum,FALSE,wild,Bombus
birmingham,2020,Ceanothus,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Syringa,Anthophora plumipes,FALSE,wild,Anthophora
birmingham,2020,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Fuchsia,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Myosotis,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Symphytum,Anthophora plumipes,FALSE,wild,Anthophora
birmingham,2020,Elaeagnus,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Vaccinium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Rhododendron,Bombus pratorum,FALSE,wild,Bombus
birmingham,2020,Crataegus,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Fuchsia,Bombus pratorum,FALSE,wild,Bombus
birmingham,2020,Fuchsia,Anthophora plumipes,FALSE,wild,Anthophora
birmingham,2020,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Geranium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Symphytum,Bombus pratorum,FALSE,wild,Bombus
birmingham,2020,Symphytum,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Malus,Melecta albifrons,FALSE,wild,Melecta
birmingham,2020,Pentaglottis,Bombus hypnorum,FALSE,wild,Bombus
birmingham,2020,Taraxacum,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Myosotis,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Ilex,Andrena fulva,FALSE,wild,Andrena
birmingham,2020,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Pentaglottis,Bombus humilis,FALSE,wild,Bombus
birmingham,2020,Taraxacum,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Malus,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Pentaglottis,Anthophora plumipes,FALSE,wild,Anthophora
birmingham,2020,Malus,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Chaenomeles,Anthophora plumipes,FALSE,wild,Anthophora
birmingham,2020,Lamium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Pentaglottis,Bombus hypnorum,FALSE,wild,Bombus
birmingham,2020,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Ajuga,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Taraxacum,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Lamium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Allium,Osmia bicornis,FALSE,wild,Osmia
birmingham,2020,Taraxacum,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Lamium,Anthophora plumipes,FALSE,wild,Anthophora
birmingham,2020,Allium,Osmia bicornis,FALSE,wild,Osmia
birmingham,2020,Taraxacum,Andrena nitida,FALSE,wild,Andrena
birmingham,2020,Taraxacum,Andrena haemorrhoa,FALSE,wild,Andrena
birmingham,2020,Allium,Andrena cineraria,FALSE,wild,Andrena
birmingham,2020,Taraxacum,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2020,Rhododendron,Bombus hortorum,FALSE,wild,Bombus
birmingham,2020,Taraxacum,Apis mellifera,TRUE,honey,Apis
birmingham,2020,Aubrieta,Melecta albifrons,FALSE,wild,Melecta
birmingham,2021,Taraxacum,Andrena haemorrhoa,FALSE,wild,Andrena
birmingham,2021,Malus,Bombus hypnorum,FALSE,wild,Bombus
birmingham,2021,Lamium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Pentaglottis,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2021,Cytisus,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Lamium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Lamium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Malus,Bombus pratorum,FALSE,wild,Bombus
birmingham,2021,Pentaglottis,Bombus pratorum,FALSE,wild,Bombus
birmingham,2021,Hyacinthoides,Apis mellifera,TRUE,honey,Apis
birmingham,2021,Lamium,Bombus hortorum,FALSE,wild,Bombus
birmingham,2021,Lamium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Erica,Apis mellifera,TRUE,honey,Apis
birmingham,2021,Symphytum,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Taraxacum,Apis mellifera,TRUE,honey,Apis
birmingham,2021,Primula,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Cotoneaster,Bombus pratorum,FALSE,wild,Bombus
birmingham,2021,Taraxacum,Bombus pratorum,FALSE,wild,Bombus
birmingham,2021,Silene,Anthophora plumipes,FALSE,wild,Anthophora
birmingham,2021,Lamium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2021,Erysimum,Anthophora plumipes,FALSE,wild,Anthophora
birmingham,2021,Epimedium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Lamium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Lamium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Prunus,Andrena fulva,FALSE,wild,Andrena
birmingham,2021,Taraxacum,Andrena haemorrhoa,FALSE,wild,Andrena
birmingham,2021,Symphytum,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Salvia,Osmia bicornis,FALSE,wild,Osmia
birmingham,2021,Taraxacum,Andrena haemorrhoa,FALSE,wild,Andrena
birmingham,2021,Taraxacum,Andrena cineraria,FALSE,wild,Andrena
birmingham,2021,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2021,Taraxacum,Andrena cineraria,FALSE,wild,Andrena
birmingham,2021,Taraxacum,Apis mellifera,TRUE,honey,Apis
birmingham,2021,Taraxacum,Apis mellifera,TRUE,honey,Apis
birmingham,2021,Vicia,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Lamium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Pentaglottis,Apis mellifera,TRUE,honey,Apis
birmingham,2021,Myosotis,Bombus terrestris,FALSE,wild,Bombus
birmingham,2021,Pentaglottis,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Pentaglottis,Osmia bicornis,FALSE,wild,Osmia
birmingham,2021,Pentaglottis,Bombus pratorum,FALSE,wild,Bombus
birmingham,2021,Lamium,Bombus pascuorum,FALSE,wild,Bombus
birmingham,2021,Pentaglottis,Bombus pratorum,FALSE,wild,Bombus
birmingham,2021,Pentaglottis,Anthophora plumipes,FALSE,wild,Anthophora
birmingham,2021,Pentaglottis,Osmia bicornis,FALSE,wild,Osmia
