id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field_name_of_associated_plant,field_pollination_interaction,city,year,source_file
43043633,c7605f80-eacd-4463-94f0-ec970e4a2982,2020-04-24 9:32:20 AM GMT+01:00,24/04/2020,2020-04-24 07:32:20 UTC,Amsterdam,2740606,john_pete,NA,2020-04-24 08:43:08 UTC,2026-02-20 12:29:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43043633,https://inaturalist-open-data.s3.amazonaws.com/photos/68345434/medium.jpeg,NA,NA,NA,1,0,FALSE,2,B62 9DA,52.46145201,-2.022137828,263,NA,NA,NA,263,NA,open,FALSE,gps,gps,Tawny Mining Bee,Andrena fulva,Tawny Mining Bee,Insecta,60579,NA,No,birmingham,2020,birmingham_20.csv
43048791,5ffbd1b6-b249-4e9a-93b8-714e6505fe5f,2020-04-24 10:56:35 AM GMT+01:00,24/04/2020,2020-04-24 08:56:35 UTC,Amsterdam,2798649,luscrestin,Paul Collins,2020-04-24 09:58:15 UTC,2026-02-20 12:18:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43048791,https://inaturalist-open-data.s3.amazonaws.com/photos/68352380/medium.jpeg,NA,NA,Drying in the sun after almost drowning in garden pond.,1,0,FALSE,2,"Birmingham B13, UK",52.44138889,-1.880277778,NA,NA,NA,NA,NA,NA,NA,FALSE,gps,gps,Buff-tailed Bumble Bee,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516,NA,No,birmingham,2020,birmingham_20.csv
43051399,d2e50a9d-5d34-4cfa-98ea-b449b2c491b0,2020/04/24 11:30 AM BST,24/04/2020,2020-04-24 10:30:00 UTC,Edinburgh,2724278,wolveswild,David Ashcroft,2020-04-24 10:32:34 UTC,2026-02-21 09:34:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43051399,https://inaturalist-open-data.s3.amazonaws.com/photos/68355877/medium.jpg,NA,NA,NA,1,0,FALSE,NA,"Wolverhampton, UK",52.587703,-2.152859601,8,NA,NA,NA,8,NA,NA,FALSE,NA,NA,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Pentaglottis sempervirens,Yes,birmingham,2020,birmingham_20.csv
43051400,d2deab66-dd34-41d5-843d-7b33cc570957,2020/04/24 11:30 AM BST,24/04/2020,2020-04-24 10:30:00 UTC,Edinburgh,2724278,wolveswild,David Ashcroft,2020-04-24 10:32:34 UTC,2026-02-20 12:18:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43051400,https://inaturalist-open-data.s3.amazonaws.com/photos/68355892/medium.jpg,NA,NA,NA,1,0,FALSE,NA,"Wolverhampton, UK",52.58769648,-2.152854237,8,NA,NA,NA,8,NA,NA,FALSE,NA,NA,Buff-tailed Bumble Bee,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516,NA,No,birmingham,2020,birmingham_20.csv
43054365,1253f2dc-0c03-4038-bf6e-2f57e01dc0de,2020-04-24 12:03:40 PM GMT+01:00,24/04/2020,2020-04-24 10:03:40 UTC,Amsterdam,2620901,mosbogfriends,Friends of Moseley Bog and Joy's Wood and Mary Girvan Vice Chair,2020-04-24 11:07:14 UTC,2026-02-20 12:18:29 UTC,research,CC-BY,https://www.inaturalist.org/observations/43054365,https://inaturalist-open-data.s3.amazonaws.com/photos/68360427/medium.jpeg,NA,NA,NA,1,0,FALSE,2,"Birmingham B13, UK",52.443118,-1.8874953,22,NA,NA,NA,22,NA,NA,FALSE,NA,NA,Buff-tailed Bumble Bee,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516,NA,No,birmingham,2020,birmingham_20.csv
43054951,b35aad0b-939e-457a-b767-9ca8c25a8b41,Fri Apr 24 2020 11:12:31 GMT+0100 (GMT+1),24/04/2020,2020-04-24 09:12:31 UTC,Amsterdam,2725890,xfritzx,NA,2020-04-24 11:14:33 UTC,2026-02-20 12:14:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43054951,https://inaturalist-open-data.s3.amazonaws.com/photos/68361265/medium.jpg,NA,NA,NA,2,0,FALSE,3,"Great Britain, Birmingham, England, GB",52.42864959,-1.911699526,59,NA,NA,NA,59,NA,NA,FALSE,NA,NA,Red Mason Bee,Osmia bicornis,Red Mason Bee,Insecta,876599,NA,No,birmingham,2020,birmingham_20.csv
43057426,e93f17ce-6e88-4621-aaf9-9035d8de8a92,2020-04-24 12:36:15 PM GMT+01:00,24/04/2020,2020-04-24 10:36:15 UTC,Amsterdam,2595541,wildwarley,NA,2020-04-24 11:43:06 UTC,2026-02-20 12:13:55 UTC,research,CC0,https://www.inaturalist.org/observations/43057426,https://inaturalist-open-data.s3.amazonaws.com/photos/68364816/medium.jpeg,NA,NA,NA,1,0,FALSE,2,"Birmingham B38, UK",52.3975,-1.949444444,NA,NA,NA,NA,NA,NA,NA,FALSE,gps,gps,Red Mason Bee,Osmia bicornis,Red Mason Bee,Insecta,876599,NA,No,birmingham,2020,birmingham_20.csv
43057814,653344f8-29f5-4167-9f26-eb8d3d7809eb,2020-04-24 12:07:30 PM GMT+01:00,24/04/2020,2020-04-24 10:07:30 UTC,Amsterdam,2826533,emma758,Emma,2020-04-24 11:47:28 UTC,2026-02-21 09:24:41 UTC,research,NA,https://www.inaturalist.org/observations/43057814,https://static.inaturalist.org/photos/68428104/medium.jpeg,NA,NA,NA,1,0,FALSE,2,"Dudley DY1, UK",52.51682607,-2.07943106,4,NA,NA,NA,4,NA,NA,FALSE,NA,NA,Common Carder Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,Alliaria petiolata,Yes,birmingham,2020,birmingham_20.csv
43058548,af7241ae-265f-408b-9cce-34b08f6b572d,Fri Apr 24 2020 12:51:36 GMT+0100 (GMT+1),24/04/2020,2020-04-24 10:51:36 UTC,Amsterdam,2686160,simonw50,NA,2020-04-24 11:54:56 UTC,2026-02-20 12:13:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43058548,https://inaturalist-open-data.s3.amazonaws.com/photos/68366355/medium.jpg,NA,NA,NA,1,0,FALSE,3,"England, GB",52.48932777,-1.811965472,5,NA,NA,NA,26036,obscured,NA,TRUE,NA,NA,Red Mason Bee,Osmia bicornis,Red Mason Bee,Insecta,876599,NA,No,birmingham,2020,birmingham_20.csv
43061267,e9620f19-0c83-4bcb-98d2-154b2af1419a,Fri Apr 24 2020 13:14:52 GMT+0100 (GMT+1),24/04/2020,2020-04-24 11:14:52 UTC,Amsterdam,2412043,moorpoolcathy,Cathy Perry,2020-04-24 12:18:21 UTC,2026-02-20 12:32:57 UTC,research,CC0,https://www.inaturalist.org/observations/43061267,https://inaturalist-open-data.s3.amazonaws.com/photos/68369794/medium.jpg,NA,NA,NA,2,0,FALSE,3,"Great Britain, Birmingham, England, GB",52.46410833,-1.95011667,5,NA,NA,NA,5,NA,NA,FALSE,NA,NA,Tree Bumble Bee,Bombus hypnorum,Tree Bumble Bee,Insecta,61803,NA,No,birmingham,2020,birmingham_20.csv
43066229,43bcc354-2406-4113-a3b5-70522c835c5b,Fri Apr 24 2020 13:59:34 GMT+0100 (GMT+1),24/04/2020,2020-04-24 11:59:34 UTC,Amsterdam,2798158,helenstockton,NA,2020-04-24 13:00:36 UTC,2026-02-20 12:13:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43066229,https://inaturalist-open-data.s3.amazonaws.com/photos/68376775/medium.jpg,NA,NA,NA,1,0,FALSE,3,"Great Britain, Stourbridge, England, GB",52.46454667,-2.15648617,7,NA,NA,NA,7,NA,NA,FALSE,NA,NA,Red Mason Bee,Osmia bicornis,Red Mason Bee,Insecta,876599,NA,No,birmingham,2020,birmingham_20.csv
43067352,5b1f73a1-95e7-4cd5-b164-3514708fc61f,2020/04/24 11:35 AM BST,24/04/2020,2020-04-24 10:35:00 UTC,London,279492,lukas_l,Lukas Large,2020-04-24 13:10:18 UTC,2026-02-21 09:29:17 UTC,research,CC-BY,https://www.inaturalist.org/observations/43067352,https://inaturalist-open-data.s3.amazonaws.com/photos/68377363/medium.jpg,NA,NA,NA,1,0,FALSE,NA,"Stourbridge, UK",52.45245542,-2.170078504,15,NA,NA,NA,15,NA,NA,FALSE,NA,NA,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Taraxacum,Yes,birmingham,2020,birmingham_20.csv
43067365,b4dbde0e-aba8-4b73-94fa-95cfb05813c8,2020/04/24 11:29 AM BST,24/04/2020,2020-04-24 10:29:00 UTC,London,279492,lukas_l,Lukas Large,2020-04-24 13:10:21 UTC,2026-02-21 09:47:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/43067365,https://inaturalist-open-data.s3.amazonaws.com/photos/68378305/medium.jpg,NA,NA,NA,2,0,FALSE,NA,"Stourbridge, UK",52.45413882,-2.161981956,8,NA,NA,NA,8,NA,NA,FALSE,NA,NA,Early Mining Bee,Andrena haemorrhoa,Early Mining Bee,Insecta,69202,Asteraceae,Yes,birmingham,2020,birmingham_20.csv
