id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field_name_of_associated_plant,field_pollination_interaction,city,year,source_file
157074486,71cae988-8ccc-42dc-9b93-93db111ccab5,2023-04-28 12:24:59+01:00,2023-04-28,2023-04-28 11:24:59 UTC,London,5510986,mcmorgan06,Matthew Morgan,2023-04-28 11:27:42 UTC,2026-01-31 19:12:27 UTC,research,CC0,https://www.inaturalist.org/observations/157074486,https://inaturalist-open-data.s3.amazonaws.com/photos/271640247/medium.jpg,NA,NA,NA,1,0,false,3,"University Of Hull, Kingston upon Hull, England, GB",53.7696805494,-0.368347895,7,NA,NA,NA,7,NA,NA,false,NA,NA,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,NA,No,hull,2023,hull_23.csv
157149930,96e93de8-102a-4397-858b-81f8d791be23,2023-04-28 16:11:53,2023-04-28,2023-04-28 15:11:53 UTC,London,6015354,clare200,Clare Langrick,2023-04-28 15:14:09 UTC,2026-02-01 20:10:15 UTC,research,CC-BY,https://www.inaturalist.org/observations/157149930,https://inaturalist-open-data.s3.amazonaws.com/photos/271754222/medium.jpeg,NA,NA,NA,3,0,false,2,"Hull HU5, UK",53.74892389,-0.40001843,7,NA,NA,NA,7,NA,NA,false,NA,NA,Common Carder Bumble Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,NA,No,hull,2023,hull_23.csv
157263427,1869327d-8220-481f-8fde-4f2d2a5e3f76,2023-04-28 11:29:54,2023-04-28,2023-04-28 10:29:54 UTC,London,2436836,phill-robinson,Phill Robinson,2023-04-28 19:42:33 UTC,2026-02-22 13:29:09 UTC,research,CC-BY,https://www.inaturalist.org/observations/157263427,https://inaturalist-open-data.s3.amazonaws.com/photos/271932706/medium.jpeg,NA,NA,NA,1,0,false,2,"Hull HU7, UK",53.7750320333,-0.3458669972,NA,NA,NA,NA,NA,NA,NA,false,gps,gps,Ackerhummel,Bombus pascuorum,Common Carder Bee,Insecta,55637,Lamium album,Yes,hull,2023,hull_23.csv
157285786,4c285a6b-f115-47d7-9281-3c1472416ac2,2023/04/28 3:10 PM,2023-04-28,2023-04-28 14:10:00 UTC,London,6328470,notonectaneta,Richard Shillaker,2023-04-28 20:34:07 UTC,2026-02-15 18:20:40 UTC,research,CC0,https://www.inaturalist.org/observations/157285786,https://inaturalist-open-data.s3.amazonaws.com/photos/271968055/medium.jpg,NA,NA,NA,1,0,false,NA,Hull Pickering Park sensory garden,53.730229666,-0.4018616612,27,NA,NA,NA,27,NA,NA,false,NA,NA,Ackerhummel,Bombus pascuorum,Common Carder Bee,Insecta,55637,Symphytum,Yes,hull,2023,hull_23.csv
157529555,c24f0e07-0b15-46dd-8cb5-ba2d938daf46,2023-04-29 12:18:59,2023-04-29,2023-04-29 11:18:59 UTC,London,6619199,helen867,Helen Kitson,2023-04-29 11:20:52 UTC,2026-02-15 18:20:29 UTC,research,CC-BY,https://www.inaturalist.org/observations/157529555,https://inaturalist-open-data.s3.amazonaws.com/photos/272361716/medium.jpeg,NA,NA,NA,1,0,false,2,"Hull HU9 4EE, UK",53.77001594,-0.25880701,7,NA,NA,NA,7,NA,NA,false,NA,NA,Ackerhummel,Bombus pascuorum,Common Carder Bee,Insecta,55637,Lamium album,Yes,hull,2023,hull_23.csv
157533443,94d785ef-4ab5-444b-80f6-95fdddd43077,2023-04-29 12:34:43,2023-04-29,2023-04-29 11:34:43 UTC,London,6615070,tc6058,Tom Cross,2023-04-29 11:36:48 UTC,2026-02-06 18:35:43 UTC,research,CC0,https://www.inaturalist.org/observations/157533443,https://inaturalist-open-data.s3.amazonaws.com/photos/272367677/medium.jpeg,NA,NA,NA,1,0,false,2,"Hull HU4, UK",53.7314466385,-0.4031305206,19,NA,NA,NA,19,NA,open,false,NA,NA,Tawny Mining Bee,Andrena fulva,Tawny Mining Bee,Insecta,60579,NA,No,hull,2023,hull_23.csv
157536393,c112d571-a209-4775-9201-d94482381cfd,2023-04-29 12:47:00,2023-04-29,2023-04-29 11:47:00 UTC,London,6615070,tc6058,Tom Cross,2023-04-29 11:48:35 UTC,2026-02-15 18:20:17 UTC,research,CC0,https://www.inaturalist.org/observations/157536393,https://inaturalist-open-data.s3.amazonaws.com/photos/272372514/medium.jpeg,NA,NA,On dandelion,1,0,false,2,"Pickering Crescent, Hull HU4 6RZ, UK",53.7304133011,-0.4017488224,4,NA,NA,NA,4,NA,NA,false,NA,NA,Ackerhummel,Bombus pascuorum,Common Carder Bee,Insecta,55637,Taraxacum,Yes,hull,2023,hull_23.csv
157541969,f4c71fbe-cbd6-467c-8320-3ef321e4f426,2023-04-29 10:51:08,2023-04-29,2023-04-29 09:51:08 UTC,London,1622153,emmdoubleyew,Mike,2023-04-29 12:09:41 UTC,2026-02-15 18:25:40 UTC,research,CC0,https://www.inaturalist.org/observations/157541969,https://static.inaturalist.org/photos/272380601/medium.jpeg,NA,NA,Not sure on ID but looks a lot like some of the photos.,2,0,false,2,"Hull HU8, UK",53.771871661,-0.279554911,47,NA,NA,NA,47,NA,NA,false,gps,gps,Hairy-footed Flower Bee,Anthophora plumipes,Hairy-footed Flower Bee,Insecta,124542,Catharanthus,Yes,hull,2023,hull_23.csv
157550824,b2376060-cdd1-494e-87ed-dffbf57db934,2023-04-29 08:56:29,2023-04-29,2023-04-29 07:56:29 UTC,London,2297922,hootinghoopoe,Africa Gomez,2023-04-29 12:40:30 UTC,2026-02-06 18:36:46 UTC,research,CC0,https://www.inaturalist.org/observations/157550824,https://inaturalist-open-data.s3.amazonaws.com/photos/272601864/medium.jpeg,NA,NA,NA,1,0,false,2,"Hull HU5, UK",53.7628980084,-0.3416707839,6,NA,NA,NA,6,NA,NA,false,NA,NA,Chocolate Mining Bee,Andrena scotica,Chocolate Mining Bee,Insecta,484528,NA,No,hull,2023,hull_23.csv
157553362,8760658d-6523-4b47-9ab3-bbe7dd1c70fd,2023-04-29 13:47:22+01:00,2023-04-29,2023-04-29 12:47:22 UTC,London,6326258,jackieguthrie,NA,2023-04-29 12:48:07 UTC,2026-02-15 18:20:07 UTC,research,CC-BY,https://www.inaturalist.org/observations/157553362,https://inaturalist-open-data.s3.amazonaws.com/photos/272397616/medium.jpg,NA,NA,NA,2,0,false,3,"Calvert Lane, Hull, England, GB",53.7490408436,-0.3950946426,20,NA,NA,NA,20,NA,NA,false,NA,NA,Common Carder Bumble Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,Taraxacum,Yes,hull,2023,hull_23.csv
157560381,8099e2ed-2abf-4b81-aea3-de2596a46d72,2023-04-29 14:08:32,2023-04-29,2023-04-29 13:08:32 UTC,London,6619199,helen867,Helen Kitson,2023-04-29 13:08:52 UTC,2026-02-15 18:30:07 UTC,research,CC-BY,https://www.inaturalist.org/observations/157560381,https://inaturalist-open-data.s3.amazonaws.com/photos/272408410/medium.jpeg,NA,NA,NA,1,0,false,2,"Hull HU9 4EE, UK",53.76998825,-0.25888544,5,NA,NA,NA,5,NA,NA,false,NA,NA,Buff-tailed Bumble Bee,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516,Lamium album,Yes,hull,2023,hull_23.csv
