id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field_name_of_associated_plant,field_pollination_interaction,city,year,source_file
23047204,9ba43b53-cb90-43be-a53e-fa13a5570c20,Fri Apr 26 2019 09:00:12 GMT+0100 (GMT+1),2019-04-26,2019-04-26 07:00:12 UTC,Amsterdam,1598624,lucyvesely,Lucy Vesely,2019-04-25 13:05:03 UTC,2026-02-19 10:45:28 UTC,research,NA,https://www.inaturalist.org/observations/23047204,https://static.inaturalist.org/photos/35730465/medium.jpg,NA,NA,NA,1,0,false,3,"Court Hey Park, Liverpool, England, GB",53.4038,-2.8758783333,6,NA,NA,NA,6,NA,NA,false,NA,NA,Garden Bumble Bee,Bombus hortorum,Garden Bumble Bee,Insecta,121989,Rhododendron,Yes,liverpool,2019,liverpool_19.csv
23110045,b755dece-14bb-4ef7-b57e-fa76666c1230,Fri Apr 26 2019 10:34:28 GMT+0100 (GMT+1),2019-04-26,2019-04-26 08:34:28 UTC,Amsterdam,1554883,gordon-lavender,Gordon lavender,2019-04-26 09:34:54 UTC,2023-08-09 22:20:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23110045,https://inaturalist-open-data.s3.amazonaws.com/photos/35827653/medium.jpg,NA,NA,NA,1,0,false,3,"Stadt Moers Park, Whiston, England, GB",53.4115248174,-2.8122547455,5,NA,NA,NA,5,NA,NA,false,NA,NA,Common Carder Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,NA,NA,liverpool,2019,liverpool_19.csv
23152955,6f9128ff-25fc-445b-bff5-6c9ae66ed7d8,2019/04/26 11:49 AM BST,2019-04-26,2019-04-26 10:49:00 UTC,London,1543321,grahamclarkson,Graham Clarkson,2019-04-26 15:51:31 UTC,2026-02-19 10:33:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23152955,https://inaturalist-open-data.s3.amazonaws.com/photos/35883926/medium.jpeg,NA,NA,NA,1,0,false,NA,RSPB Marshside,53.6735,-2.985234,39,NA,NA,NA,39,NA,NA,false,NA,NA,Common Carder Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,Lamium album,Yes,liverpool,2019,liverpool_19.csv
23611520,19ebecaf-b6af-4cd8-bc65-5f9130bc7a76,2019-04-28 1:17:37 pm BST,2019-04-28,2019-04-28 12:17:37 UTC,Europe/London,1411960,mandapanda,Amanda Cogan Barber,2019-04-28 12:18:34 UTC,2026-02-19 10:38:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23611520,https://inaturalist-open-data.s3.amazonaws.com/photos/36804005/medium.png,NA,NA,NA,1,0,false,2,"NCN 62, Southport PR9, UK",53.67299022,-2.98607417,4,NA,NA,NA,4,NA,NA,false,NA,NA,Early Mining Bee,Andrena haemorrhoa,Early Mining Bee,Insecta,69202,NA,No,liverpool,2019,liverpool_19.csv
23624902,f232d7a1-bbed-4296-9557-97427ce4c2bf,Sun Apr 28 2019 14:52:20 GMT+0100 (GMT+1),2019-04-28,2019-04-28 12:52:20 UTC,Amsterdam,1669967,junemortazavi21,NA,2019-04-28 13:52:31 UTC,2026-02-19 10:32:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23624902,https://inaturalist-open-data.s3.amazonaws.com/photos/36574260/medium.jpg,NA,NA,NA,1,0,false,3,"34 Coleridge Drive, Wirral, England, GB",53.3601206169,-3.0035183765,5,NA,NA,NA,5,NA,NA,false,NA,NA,Ackerhummel,Bombus pascuorum,Common Carder Bee,Insecta,55637,Salvia rosmarinus,Yes,liverpool,2019,liverpool_19.csv
23625215,057dfd2c-e98d-4537-8d73-42235402a08e,Sun Apr 28 2019 14:51:26 GMT+0100 (GMT+1),2019-04-28,2019-04-28 12:51:26 UTC,Amsterdam,1664125,m_e_thornton,M_E_Thornton,2019-04-28 13:54:14 UTC,2026-02-19 10:34:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23625215,https://inaturalist-open-data.s3.amazonaws.com/photos/36574707/medium.jpg,NA,NA,NA,1,0,false,3,"49 Lang Lane, Wirral, England, GB",53.3769068029,-3.1739334483,5,NA,NA,NA,5,NA,NA,false,NA,NA,Large Red-tailed Bumble Bee,Bombus lapidarius,Red-tailed Bumble Bee,Insecta,57619,Hyacinthoides,Yes,liverpool,2019,liverpool_19.csv
23637195,5bea8057-dddc-4e4f-bbe4-02fa03696a0b,Sun Apr 28 2019 15:45:36 GMT+0100 (GMT+1),2019-04-28,2019-04-28 13:45:36 UTC,Amsterdam,1397834,croxvols,Croxteth Park Volunteer Group,2019-04-28 14:46:44 UTC,2026-02-19 10:44:14 UTC,research,CC0,https://www.inaturalist.org/observations/23637195,https://inaturalist-open-data.s3.amazonaws.com/photos/36590935/medium.jpg,NA,NA,NA,2,0,false,3,"L34, Prescot, England, GB",53.4517833333,-2.8669866667,5,NA,NA,NA,5,NA,NA,false,NA,NA,Dunkle Erdhummel,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516,Taraxacum,Yes,liverpool,2019,liverpool_19.csv
23640506,5795db9e-0174-42d0-84ce-c64dd4225eea,2019/04/28 12:46 PM BST,2019-04-28,2019-04-28 11:46:00 UTC,Edinburgh,1440629,maurice66,Maurice Maynard,2019-04-28 14:59:41 UTC,2026-02-19 10:32:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23640506,https://inaturalist-open-data.s3.amazonaws.com/photos/36595103/medium.jpeg,NA,NA,NA,1,0,false,NA,"Merseyside, UK",53.5177548098,-2.9856894115,8,NA,NA,NA,8,NA,NA,false,NA,NA,Common Carder Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,Lamium album,Yes,liverpool,2019,liverpool_19.csv
23657607,89f8f6c5-d013-4f47-b4dd-9d24a60d9187,2019-04-28 5:03:16 pm BST,2019-04-28,2019-04-28 17:03:16 UTC,UTC,1572600,philw1985,NA,2019-04-28 16:06:09 UTC,2026-02-19 10:34:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23657607,https://inaturalist-open-data.s3.amazonaws.com/photos/36618904/medium.jpeg,NA,NA,NA,1,0,false,2,"19 Charterhouse Rd, Liverpool L25 8QR, UK",53.3687853,-2.85899148,16,NA,NA,NA,16,NA,NA,false,NA,NA,Red-tailed Bumble Bee,Bombus lapidarius,Red-tailed Bumble Bee,Insecta,57619,NA,No,liverpool,2019,liverpool_19.csv
23668402,b51e13bd-0611-4d60-a0db-5cdf969f90f6,2019-04-28 3:09:10 pm BST,2019-04-28,2019-04-28 14:09:10 UTC,Edinburgh,1414945,bondie8,Dave Bond,2019-04-28 16:43:37 UTC,2026-02-19 10:42:59 UTC,research,CC0,https://www.inaturalist.org/observations/23668402,https://inaturalist-open-data.s3.amazonaws.com/photos/36633311/medium.jpeg,NA,NA,NA,2,0,false,2,"Sefton Park Palm House, Liverpool L17 1AP, UK",53.381389334,-2.9363573715,22,NA,NA,NA,22,NA,open,false,gps,gps,Tawny Mining Bee,Andrena fulva,Tawny Mining Bee,Insecta,60579,NA,No,liverpool,2019,liverpool_19.csv
23727788,6c188531-6f17-46d3-8a4a-b6378a7d1d2f,2019-04-28 3:44:54 pm BST,2019-04-28,2019-04-28 14:44:54 UTC,London,1223604,ben_deed,Ben Deed,2019-04-28 20:30:27 UTC,2026-02-19 10:32:19 UTC,research,CC0,https://www.inaturalist.org/observations/23727788,https://inaturalist-open-data.s3.amazonaws.com/photos/36719009/medium.jpeg,NA,NA,NA,1,0,false,2,"NCN 62, Southport PR8, UK",53.63829422,-3.034081459,NA,NA,NA,NA,NA,NA,NA,false,gps,gps,Common Carder Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,Taraxacum,Yes,liverpool,2019,liverpool_19.csv
23788638,4d4e3310-2dd6-4cd7-9817-071ffc2e8f3a,Sun Apr 28 2019 16:30:12 GMT+0100 (GMT+1),2019-04-28,2019-04-28 14:30:12 UTC,Amsterdam,1423907,andreaku,NA,2019-04-29 00:13:36 UTC,2026-02-19 10:44:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23788638,https://inaturalist-open-data.s3.amazonaws.com/photos/36809959/medium.jpg,NA,NA,NA,1,0,false,3,"Sefton Park, Liverpool, England, GB",53.3809405576,-2.934965807,357,NA,NA,NA,357,NA,NA,false,NA,NA,Buff-tailed Bumble Bee,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516,Trifolium,Yes,liverpool,2019,liverpool_19.csv
23880229,dab1bb99-bd76-4c7c-9bfb-53bcdab68a7c,2019-04-29 10:24:30 am BST,2019-04-29,2019-04-29 10:24:30 UTC,UTC,1695828,thomasdohertybone,Thomas Doherty-Bone,2019-04-29 09:26:13 UTC,2026-02-19 10:45:51 UTC,research,NA,https://www.inaturalist.org/observations/23880229,https://static.inaturalist.org/photos/36949037/medium.jpeg,NA,NA,NA,1,0,false,2,"North Wirral Coastal Park The Gunsite, Green Ln, Wallasey CH45 8LW, UK",53.4256133333,-3.0890666667,7,NA,NA,NA,7,NA,NA,false,NA,NA,Early Colletes,Colletes cunicularius,Early Cellophane Bee,Insecta,484487,Taraxacum,Yes,liverpool,2019,liverpool_19.csv
