id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field_name_of_associated_plant,field_pollination_interaction,city,year,source_file
23124461,60e2671e-72f0-4c1b-9b20-378162d24c02,Fri Apr 26 2019 14:00:28 GMT+0100 (GMT+1),2019-04-26,2019-04-26 12:00:28 UTC,Amsterdam,1557280,robster853,NA,2019-04-26 13:00:31 UTC,2026-02-19 11:02:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23124461,https://inaturalist-open-data.s3.amazonaws.com/photos/35846985/medium.jpg,NA,NA,NA,2,0,false,3,"BL1, Bolton, England, GB",53.6027621711,-2.4818936829,5,NA,NA,NA,5,NA,NA,false,NA,NA,Common Carder Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,Vaccinium,Yes,manchester,2019,manchester_19.csv
23359811,ec2de6b4-e2f5-4317-8c62-75358d996fa7,Fri Apr 26 2019 12:25:20 GMT+0100 (GMT+1),2019-04-26,2019-04-26 10:25:20 UTC,Amsterdam,1669508,k_mccartney,Karen McCartney,2019-04-27 13:41:47 UTC,2026-02-19 11:06:50 UTC,research,NA,https://www.inaturalist.org/observations/23359811,https://static.inaturalist.org/photos/36186675/medium.jpg,NA,NA,Terrible pictures but it was B hortorum. Banding on the back of the thorax as well as the front thoracic band and a third yellow band on the abdomen.,1,0,false,3,"Whitworth Park, Manchester, England, GB",53.4601115361,-2.2307560823,18,NA,NA,NA,18,NA,NA,false,NA,NA,Garden Bumble Bee,Bombus hortorum,Garden Bumble Bee,Insecta,121989,NA,Yes,manchester,2019,manchester_19.csv
23360173,e18259e0-02ad-4e23-813f-8bbff087f30a,Fri Apr 26 2019 12:42:51 GMT+0100 (GMT+1),2019-04-26,2019-04-26 10:42:51 UTC,Amsterdam,1669508,k_mccartney,Karen McCartney,2019-04-27 13:43:53 UTC,2026-02-19 11:08:16 UTC,research,NA,https://www.inaturalist.org/observations/23360173,https://static.inaturalist.org/photos/36187179/medium.jpg,NA,NA,Female,1,0,false,3,"Whitworth Park, Manchester, England, GB",53.4602262043,-2.2306966525,72,NA,NA,NA,72,NA,NA,false,NA,NA,Chocolate Mining Bee,Andrena scotica,Chocolate Mining Bee,Insecta,484528,NA,No,manchester,2019,manchester_19.csv
23596245,f9854d92-e5f9-47b4-91d0-c25444d75f9e,Sun Apr 28 2019 10:40:12 GMT+0100 (GMT+1),2019-04-28,2019-04-28 08:40:12 UTC,Amsterdam,1688695,tntwillboom,NA,2019-04-28 09:40:26 UTC,2026-02-19 11:02:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23596245,https://inaturalist-open-data.s3.amazonaws.com/photos/36534634/medium.jpg,NA,NA,NA,1,0,false,3,"9 Essex Avenue, Stockport, England, GB",53.4048370756,-2.1856621954,65,NA,NA,NA,65,NA,NA,false,NA,NA,Ackerhummel,Bombus pascuorum,Common Carder Bee,Insecta,55637,Silene,Yes,manchester,2019,manchester_19.csv
23596246,27512e71-2896-4ac9-a694-0ae99e4ef847,Sun Apr 28 2019 10:39:53 GMT+0100 (GMT+1),2019-04-28,2019-04-28 08:39:53 UTC,Amsterdam,1623894,tkelso2308,NA,2019-04-28 09:40:26 UTC,2026-02-19 11:02:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23596246,https://inaturalist-open-data.s3.amazonaws.com/photos/36534630/medium.jpg,NA,NA,NA,1,0,false,3,"Camco House, 40 Stockport Road, Stockport, England, GB",53.4048598352,-2.1852659573,8,NA,NA,NA,8,NA,NA,false,NA,NA,Ackerhummel,Bombus pascuorum,Common Carder Bee,Insecta,55637,Silene,Yes,manchester,2019,manchester_19.csv
23596264,71bca170-6441-4a12-8387-32f4f91655b8,Sun Apr 28 2019 10:40:05 GMT+0100 (GMT+1),2019-04-28,2019-04-28 08:40:05 UTC,Amsterdam,1647147,homescool,NA,2019-04-28 09:40:37 UTC,2026-02-19 11:01:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23596264,https://inaturalist-open-data.s3.amazonaws.com/photos/36534662/medium.jpg,NA,NA,NA,1,0,false,3,"9 Essex Avenue, Stockport, England, GB",53.4047411161,-2.1858005917,65,NA,NA,NA,65,NA,NA,false,NA,NA,Ackerhummel,Bombus pascuorum,Common Carder Bee,Insecta,55637,Silene,Yes,manchester,2019,manchester_19.csv
23602409,6ea0abb5-2d51-4cef-bf19-2a20169021fa,2019-04-28 11:47:32 am BST,2019-04-28,2019-04-28 11:47:32 UTC,UTC,1621571,froggly,NA,2019-04-28 10:48:16 UTC,2026-02-18 21:00:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23602409,https://inaturalist-open-data.s3.amazonaws.com/photos/36543014/medium.jpeg,NA,NA,NA,2,0,false,2,"Manchester, England, GB",53.4088897705,-2.2294445038,NA,NA,NA,NA,NA,NA,NA,false,gps,gps,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,NA,No,manchester,2019,manchester_19.csv
23603704,e10ad764-ff21-48e9-92d4-0d7e39de7756,Sun Apr 28 2019 10:06:36 GMT+0100 (GMT+1),2019-04-28,2019-04-28 08:06:36 UTC,Amsterdam,1666175,irisandlily,NA,2019-04-28 11:01:51 UTC,2026-02-19 11:04:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23603704,https://inaturalist-open-data.s3.amazonaws.com/photos/36544767/medium.jpg,NA,NA,NA,3,0,false,3,"27 Wingate Drive, Manchester, England, GB",53.5530202438,-2.298873494,38,NA,NA,NA,38,NA,NA,false,NA,NA,Tree Bumble Bee,Bombus hypnorum,Tree Bumble Bee,Insecta,61803,NA,No,manchester,2019,manchester_19.csv
23607852,2911cc17-72f1-420c-81da-6168a5ac0af6,2019-04-28 12:39:21 pm BST,2019-04-28,2019-04-28 12:39:21 UTC,UTC,1621571,froggly,NA,2019-04-28 11:45:11 UTC,2026-02-19 11:05:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23607852,https://inaturalist-open-data.s3.amazonaws.com/photos/36550918/medium.jpeg,NA,NA,NA,1,0,false,2,"16-18 Stenner Ln, Manchester M20 2RQ, UK",53.4094429016,-2.231944561,NA,NA,NA,NA,NA,NA,NA,false,gps,gps,Wald-Kuckuckshummel,Bombus sylvestris,Forest Cuckoo Bumble bee,Insecta,127736,NA,No,manchester,2019,manchester_19.csv
23611319,7fb27158-8476-486e-a7e6-7f66a2552ec3,Sun Apr 28 2019 11:12:54 GMT+0100 (GMT+1),2019-04-28,2019-04-28 09:12:54 UTC,Amsterdam,1499721,jennifermarian,NA,2019-04-28 12:16:48 UTC,2026-02-19 11:06:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23611319,https://inaturalist-open-data.s3.amazonaws.com/photos/36556173/medium.jpg,NA,NA,NA,2,0,false,3,"Fletcher Moss Park and Parsonage Gardens, Manchester, England, GB",53.4084083333,-2.2295116667,5,NA,NA,NA,5,NA,NA,false,NA,NA,Ashy Mining Bee,Andrena cineraria,Ashy Mining Bee,Insecta,70400,NA,No,manchester,2019,manchester_19.csv
23643065,e86da2a3-dcd1-4ef8-900f-396d600e01e4,Sun Apr 28 2019 15:17:39 GMT+0100 (GMT+1),2019-04-28,2019-04-28 13:17:39 UTC,Amsterdam,1666175,irisandlily,NA,2019-04-28 15:09:41 UTC,2026-02-22 14:33:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23643065,https://inaturalist-open-data.s3.amazonaws.com/photos/36598545/medium.jpg,NA,NA,NA,2,0,false,3,"Red Rock Lane, Manchester, England, GB",53.5368833058,-2.3423900085,76,NA,NA,NA,76,NA,NA,false,NA,NA,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Malus,Yes,manchester,2019,manchester_19.csv
23657065,b62d14bb-5add-4681-811b-50bb45c8ccc2,Sun Apr 28 2019 17:03:06 GMT+0100 (GMT+1),2019-04-28,2019-04-28 15:03:06 UTC,Amsterdam,1689948,jonk179,NA,2019-04-28 16:04:00 UTC,2026-02-18 20:59:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23657065,https://inaturalist-open-data.s3.amazonaws.com/photos/36618327/medium.jpg,NA,NA,NA,1,0,false,3,"183 Wardle Road, Rochdale, England, GB",53.6430247268,-2.1365225595,50,NA,NA,NA,50,NA,NA,false,NA,NA,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,NA,No,manchester,2019,manchester_19.csv
23658664,31610592-5a24-4fba-a58f-6f57ddff3e1c,Sun Apr 28 2019 17:09:38 GMT+0100 (GMT+1),2019-04-28,2019-04-28 15:09:38 UTC,Amsterdam,1688605,florrie_walkers,NA,2019-04-28 16:10:12 UTC,2026-02-22 14:33:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23658664,https://inaturalist-open-data.s3.amazonaws.com/photos/36620339/medium.jpg,NA,NA,NA,1,0,false,3,"Cringle Fields Park, Manchester, England, GB",53.4352556197,-2.1891157329,5,NA,NA,NA,5,NA,NA,false,NA,NA,Tree Bumble Bee,Bombus hypnorum,Tree Bumble Bee,Insecta,61803,Sorbus,Yes,manchester,2019,manchester_19.csv
